,id,frtstGrupp,lefstalklt,frtstSetCo,pllnLt,flanGrupp,frtstCo,flanJnt,tcdmt,frmhsFclu,hvstGrupp,hvstJnt,frmYear_x,frmMonth_x,grwtLt,fcluHg,frmhsId_x,lefLt,flwrCo,hvstCo,frmWeek,lefCunt,frtstJnt,lefBt,stemThck,frmYear_y,frmMonth_y,frmAr,frmhsId_y,outtrn
21,81,10.125,0.0,0.0,0.0,10.75,16.0,0.0,0.0,11.25,4.7,0.0,2017,12,17.1833333333333,28.58,81,40.85,0.0,0.0,52,11.583333333333302,0.0,42.675,9.9175,2017,12,2700.0,81,6031.0
22,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,1,0.0,0.0,81,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2018,1,2700.0,81,6302.0
23,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,1,0.0,0.0,81,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2018,1,2700.0,81,4941.0
24,81,11.2875,0.0,0.0,0.0,12.395833333333302,16.1666666666667,0.0,0.0,13.25,5.94166666666667,0.0,2018,1,0.0,32.116666666666696,81,43.8,0.0,0.0,3,12.083333333333302,0.0,51.0583333333333,9.53833333333333,2018,1,2700.0,81,5654.0
25,81,11.95,0.0,0.0,0.0,12.8841666666667,16.5,0.0,0.0,13.5,6.65,0.0,2018,1,12.7416666666667,23.1,81,41.1,0.0,0.0,4,11.5,0.0,43.15,9.37,2018,1,2700.0,81,4326.0
26,81,12.584166666666698,0.0,0.0,0.0,13.466666666666699,17.5833333333333,0.0,0.0,14.083333333333302,7.08083333333333,0.0,2018,1,10.5,26.5666666666667,81,41.6333333333333,0.0,0.0,5,12.25,0.0,41.9833333333333,9.9375,2018,1,2700.0,81,3442.0
27,81,13.415833333333302,0.0,0.0,0.0,14.048333333333302,18.5833333333333,0.0,0.0,14.583333333333302,7.66416666666667,0.0,2018,2,14.1,21.608333333333302,81,40.841666666666704,0.0,0.0,6,13.333333333333302,0.0,39.925,9.620833333333339,2018,2,2700.0,81,3548.0
28,81,13.806666666666699,0.0,0.0,0.0,14.513333333333302,18.9166666666667,0.0,0.0,15.0,7.801666666666669,0.0,2018,2,17.5,29.7181818181818,81,41.6083333333333,0.0,0.0,7,13.083333333333302,0.0,43.6416666666667,9.45833333333333,2018,2,2700.0,81,4714.0
29,81,14.0808333333333,0.0,0.0,0.0,15.119166666666699,19.0,0.0,0.0,15.583333333333302,8.21833333333333,0.0,2018,2,20.0416666666667,25.016666666666698,81,38.0675,0.0,0.0,8,13.0,0.0,38.9916666666667,9.36083333333333,2018,2,2700.0,81,5273.0
30,81,14.996666666666698,0.0,0.0,0.0,15.81,20.25,0.0,0.0,16.5,8.85166666666666,0.0,2018,2,17.8333333333333,20.65,81,35.65,0.0,0.0,9,16.1666666666667,0.0,33.575,9.12333333333333,2018,2,2700.0,81,7096.0
31,81,15.4916666666667,0.0,0.0,0.0,16.5416666666667,19.4166666666667,0.0,0.0,17.25,9.53833333333333,0.0,2018,3,18.7416666666667,22.716666666666697,81,34.741666666666696,0.0,0.0,10,15.75,0.0,29.766666666666698,8.35833333333333,2018,3,2700.0,81,8413.0
32,81,16.41,0.0,0.0,0.0,17.529166666666697,20.75,0.0,0.0,18.25,10.1641666666667,0.0,2018,3,17.4166666666667,21.325,81,34.4833333333333,0.0,0.0,11,15.0,0.0,33.65,9.2775,2018,3,2700.0,81,9146.0
