,id,frtstGrupp,flanGrupp,frtstCo,frmhsFclu,hvstGrupp,grwtLt,fcluHg,lefLt,hvstCo,frmWeek,lefCunt,lefBt,stemThck,outtrn,ec,ph,cunt,otmsuplyqy
37,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0,2.150349635,5.549300656000001,10.5,240.2060606
38,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0,2.183333337,5.39166673,6.0,233.2777778
39,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0,2.096153793,5.575320536,10.5,250.15303030000004
40,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0,2.129166663,5.5625,10.0,243.6498317
41,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0,2.1669642540000003,5.439285772000001,6.5,260.6071429
42,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,2.2942356,5.768797,17.0,179.33333330000002
43,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,2.228260864,5.850000018999999,21.5,179.781746
44,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,2.228416677,6.002416664,20.0,163.4398148
45,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,2.372916678,5.93166668,23.0,145.38446969999998
46,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,2.422857182,5.594999944,7.0,172.21527780000002
47,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,2.330042046,5.750840367,13.0,180.5320513
48,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,2.270676691,5.842731848,16.5,167.10555559999997
49,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,2.216898159,5.973379627000001,19.5,211.5882353
50,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,2.312237781,5.714685267,10.5,200.35
51,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,2.263529415,5.835686326,14.5,187.6418269
52,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,2.3016666669999997,5.770833328999999,12.5,196.6089744
53,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,2.275387,5.897058842000001,15.0,183.7541478
54,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,2.230909092,5.969090904,17.0,185.48495369999998
55,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,2.3510869569999997,5.896014481,17.5,168.6663943
