,hvstGrupp,hvstCo,fcluHg,grwtLt,lefLt,frmWeek,lefCunt,lefBt,stemThck,ec,ph,cunt,otmsuplyqy
2889,6.0415,1.5,22.625,21.675,45.85,10,8.25,42.1,12.865,2.725,5.6,4.0,66.73881674
2890,6.0415,1.5,22.625,21.675,45.85,10,8.25,42.1,12.865,2.75,5.6,6.0,67.82106782
2891,6.0415,1.5,22.625,21.675,45.85,10,8.25,42.1,12.865,2.777777778,5.6,9.0,67.82106782
2892,6.0415,1.5,22.625,21.675,45.85,10,8.25,42.1,12.865,2.766666667,5.6,16.0,66.06240981
2893,7.0,2.0,20.925,21.6,43.325,11,9.25,41.15,11.005,2.76875,5.6,16.0,65.65656566
2894,7.0,2.0,20.925,21.6,43.325,11,9.25,41.15,11.005,2.75625,5.6,16.0,65.38600289
2895,7.0,2.0,20.925,21.6,43.325,11,9.25,41.15,11.005,2.7,5.6,16.0,64.21356421
2896,7.0,2.0,20.925,21.6,43.325,11,9.25,41.15,11.005,2.723529412,5.594117647000001,17.0,63.36473984
2897,7.0,2.0,20.925,21.6,43.325,11,9.25,41.15,11.005,2.666666667,5.566666667000001,3.0,42.80904281
2898,7.0,2.0,20.925,21.6,43.325,11,9.25,41.15,11.005,2.74,5.6,5.0,62.04906205
2899,7.0,2.0,20.925,21.6,43.325,11,9.25,41.15,11.005,2.727777778,5.6055555560000005,19.0,60.49213944
2900,7.49975,1.25,22.125,24.1,41.7,12,12.0,39.5,11.3975,2.614285714,5.7,7.0,60.60606061
2901,7.49975,1.25,22.125,24.1,41.7,12,12.0,39.5,11.3975,2.6,5.7,3.0,60.60606061
2902,7.49975,1.25,22.125,24.1,41.7,12,12.0,39.5,11.3975,2.61,5.69,10.0,60.60606061
2903,7.49975,1.25,22.125,24.1,41.7,12,12.0,39.5,11.3975,2.633333333,5.666666667,3.0,60.60606061
2904,7.49975,1.25,22.125,24.1,41.7,12,12.0,39.5,11.3975,2.68125,5.69375,16.0,61.19227994
2905,7.49975,1.25,22.125,24.1,41.7,12,12.0,39.5,11.3975,2.7,5.694117647000001,17.0,60.60606061
2906,7.49975,1.25,22.125,24.1,41.7,12,12.0,39.5,11.3975,2.682352941,5.894117647000001,17.0,55.17358459
2907,8.25,1.75,14.475,26.475,41.375,13,11.5,33.35,8.7,2.672222222,5.8888888889999995,18.0,56.11672278
2908,8.25,1.75,14.475,26.475,41.375,13,11.5,33.35,8.7,2.7,5.9,18.0,54.83405483
2909,8.25,1.75,14.475,26.475,41.375,13,11.5,33.35,8.7,2.68,5.895,20.0,55.33910534
2910,8.25,1.75,14.475,26.475,41.375,13,11.5,33.35,8.7,2.745,5.895,20.0,57.72005772
2911,8.25,1.75,14.475,26.475,41.375,13,11.5,33.35,8.7,2.710526316,5.894736842,19.0,57.18842561
2912,8.25,1.75,14.475,26.475,41.375,13,11.5,33.35,8.7,2.621052632,5.9,19.0,53.42902711
2913,8.25,1.75,14.475,26.475,41.375,13,11.5,33.35,8.7,2.642105263,5.9,19.0,51.22655123
2921,10.7475,2.5,22.175,20.825,42.525,15,10.0,35.25,12.0125,2.58,5.9,20.0,51.22655123
2922,10.7475,2.5,22.175,20.825,42.525,15,10.0,35.25,12.0125,2.566666667,5.9,21.0,53.39105339
2923,10.7475,2.5,22.175,20.825,42.525,15,10.0,35.25,12.0125,2.61,5.845,21.0,52.77262420000001
2924,10.7475,2.5,22.175,20.825,42.525,15,10.0,35.25,12.0125,2.617391304,5.9,23.0,53.39105339
2925,10.7475,2.5,22.175,20.825,42.525,15,10.0,35.25,12.0125,2.59375,5.9,16.0,51.94805195
2926,10.7475,2.5,22.175,20.825,42.525,15,10.0,35.25,12.0125,2.618181818,5.890909091,11.0,51.94805195
2927,10.7475,2.5,22.175,20.825,42.525,15,10.0,35.25,12.0125,2.6,5.9,4.0,51.94805195
2928,11.415,1.75,18.3333333333333,26.1,39.175,16,9.5,36.4,9.5325,2.5818181819999997,5.913636363999999,23.0,51.57161679
2929,11.415,1.75,18.3333333333333,26.1,39.175,16,9.5,36.4,9.5325,2.6684210530000003,5.9052631579999995,19.0,51.41641984
2930,11.415,1.75,18.3333333333333,26.1,39.175,16,9.5,36.4,9.5325,2.647619048,5.895238095,21.0,50.50505051
2931,11.415,1.75,18.3333333333333,26.1,39.175,16,9.5,36.4,9.5325,2.604347826,6.060869565,23.0,50.50505051
