,grwtLt,lefLt,frmWeek,lefCunt,lefBt,stemThck,ec,ph,cunt,otmsuplyqy
1097,0.0,0.0,40,0.0,0.0,0.0,2.4,5.5,12.0,80.0
1098,0.0,0.0,40,0.0,0.0,0.0,2.6,5.5,21.0,80.0
1099,0.0,0.0,40,0.0,0.0,0.0,2.5,5.5,21.0,80.0
1100,0.0,0.0,40,0.0,0.0,0.0,2.6,5.5,11.0,80.0
1101,0.0,0.0,40,0.0,0.0,0.0,2.6,5.4,5.0,80.0
1102,0.0,0.0,40,0.0,0.0,0.0,2.4,5.3,14.0,80.0
1103,0.0,0.0,40,0.0,0.0,0.0,2.5,5.5,18.0,81.66666667
1104,0.0,0.0,41,0.0,0.0,0.0,2.5,5.4,18.0,81.66666667
1105,0.0,0.0,41,0.0,0.0,0.0,2.5,5.5,16.0,76.5625
1106,0.0,0.0,41,0.0,0.0,0.0,2.5,5.5,4.0,80.0
1107,0.0,0.0,41,0.0,0.0,0.0,2.6,5.5,1.0,80.0
1108,0.0,0.0,41,0.0,0.0,0.0,2.4,5.4,18.0,71.66666667
1109,0.0,0.0,41,0.0,0.0,0.0,2.6,5.5,18.0,72.22222222
1110,0.0,0.0,41,0.0,0.0,0.0,2.6,5.5,12.0,70.0
1125,0.0,0.0,44,0.0,0.0,0.0,2.5,5.5,16.0,76.875
1126,0.0,0.0,44,0.0,0.0,0.0,2.6,5.4,13.0,80.76923077
1127,0.0,0.0,44,0.0,0.0,0.0,2.6,5.5,10.0,80.0
1128,0.0,0.0,44,0.0,0.0,0.0,2.6,5.5,10.0,74.0
1129,0.0,0.0,44,0.0,0.0,0.0,2.4,5.7,5.0,78.0
1130,0.0,0.0,44,0.0,0.0,0.0,2.4,5.7,13.0,75.38461539
1131,0.0,0.0,44,0.0,0.0,0.0,2.4,5.8,14.0,77.14285714
1188,0.0,0.0,1,0.0,0.0,0.0,2.8,5.9,7.0,88.57142857
1189,0.0,0.0,1,0.0,0.0,0.0,2.8,5.9,4.0,107.5
1190,0.0,0.0,1,0.0,0.0,0.0,2.8,5.9,6.0,95.0
1191,0.0,0.0,1,0.0,0.0,0.0,2.8,6.1,3.0,80.0
1192,0.0,0.0,1,0.0,0.0,0.0,2.9,6.0,5.0,88.0
1193,0.0,0.0,1,0.0,0.0,0.0,2.8,6.0,7.0,85.71428571
1194,0.0,0.0,1,0.0,0.0,0.0,2.8,5.6,2.0,80.0
