,flanGrupp,frmhsFclu,fcluHg,grwtLt,lefLt,frmWeek,lefCunt,lefBt,stemThck,ec,ph,cunt,otmsuplyqy
364,2.0,3.0,24.75,0.0,0.0,45,15.0,0.0,12.5,2.8708332999999997,5.54999995,12.0,68.04
365,2.0,3.0,24.75,0.0,0.0,45,15.0,0.0,12.5,2.87272725,5.7227272000000005,11.0,62.36
366,2.0,3.0,24.75,0.0,0.0,45,15.0,0.0,12.5,2.81,5.77,10.0,67.4
367,2.0,3.0,24.75,0.0,0.0,45,15.0,0.0,12.5,2.9134615000000004,5.541025599999999,12.5,67.5
368,2.0,3.0,24.75,0.0,0.0,45,15.0,0.0,12.5,2.69999995,5.62142855,7.0,72.93
369,2.0,3.0,24.75,0.0,0.0,45,15.0,0.0,12.5,2.79999995,5.62499995,12.0,66.04
370,2.0,3.0,24.75,0.0,0.0,45,15.0,0.0,12.5,2.75480765,5.61923075,12.5,61.435
378,8.825,9.75,27.75,16.0,0.0,47,12.5,0.0,11.95,2.8636362999999996,5.63181815,11.0,72.045
379,8.825,9.75,27.75,16.0,0.0,47,12.5,0.0,11.95,2.79954545,5.659090900000001,10.5,69.03
380,8.825,9.75,27.75,16.0,0.0,47,12.5,0.0,11.95,2.85,5.6,1.0,68.0
381,8.825,9.75,27.75,16.0,0.0,47,12.5,0.0,11.95,2.575,5.7,2.0,58.5
382,8.825,9.75,27.75,16.0,0.0,47,12.5,0.0,11.95,2.7525,5.655,4.5,62.525
383,8.825,9.75,27.75,16.0,0.0,47,12.5,0.0,11.95,2.79166665,5.6722222,8.5,75.66
384,8.825,9.75,27.75,16.0,0.0,47,12.5,0.0,11.95,2.74166665,5.71666665,6.0,101.25
385,9.3,10.0,22.25,16.5,0.0,48,14.5,0.0,11.225,2.87777775,5.68888885,9.0,88.89
386,9.3,10.0,22.25,16.5,0.0,48,14.5,0.0,11.225,2.9125,5.5583333,5.0,74.75
387,9.3,10.0,22.25,16.5,0.0,48,14.5,0.0,11.225,3.0694444,5.2756944,8.5,90.845
388,9.3,10.0,22.25,16.5,0.0,48,14.5,0.0,11.225,2.9416666,5.3416666,6.0,91.25
389,9.3,10.0,22.25,16.5,0.0,48,14.5,0.0,11.225,3.03541665,4.93680555,8.5,67.93
390,9.3,10.0,22.25,16.5,0.0,48,14.5,0.0,11.225,3.23571425,5.21428565,7.0,63.855
391,9.3,10.0,22.25,16.5,0.0,48,14.5,0.0,11.225,3.035,5.255,4.5,62.35
392,9.825,10.75,32.0,16.5,0.0,49,12.75,0.0,11.775,2.99999995,5.46666665,3.0,75.165
393,9.825,10.75,32.0,16.5,0.0,49,12.75,0.0,11.775,2.975,5.525,4.0,54.25
394,9.825,10.75,32.0,16.5,0.0,49,12.75,0.0,11.775,2.99652775,5.54791665,8.5,71.345
395,9.825,10.75,32.0,16.5,0.0,49,12.75,0.0,11.775,2.98571425,5.38452375,6.5,57.27
396,9.825,10.75,32.0,16.5,0.0,49,12.75,0.0,11.775,3.03571425,5.58571425,7.0,74.785
397,9.825,10.75,32.0,16.5,0.0,49,12.75,0.0,11.775,3.035,5.44166665,5.5,68.55
398,9.825,10.75,32.0,16.5,0.0,49,12.75,0.0,11.775,2.9525,5.5525,4.5,62.025
399,10.5,11.5,24.0,12.0,0.0,50,14.25,0.0,11.525,3.03214285,5.491071400000001,7.5,68.395
400,10.5,11.5,24.0,12.0,0.0,50,14.25,0.0,11.525,2.9708333,5.6125,7.0,71.5
401,10.5,11.5,24.0,12.0,0.0,50,14.25,0.0,11.525,2.825,5.525,4.0,77.5
402,10.5,11.5,24.0,12.0,0.0,50,14.25,0.0,11.525,3.07976185,5.54404755,6.5,77.52
403,10.5,11.5,24.0,12.0,0.0,50,14.25,0.0,11.525,2.98571425,5.5628570999999996,6.0,66.3
404,10.5,11.5,24.0,12.0,0.0,50,14.25,0.0,11.525,3.12777775,5.34722215,7.5,51.085
405,10.5,11.5,24.0,12.0,0.0,50,14.25,0.0,11.525,3.07857135,5.414285700000001,7.0,68.145
406,10.975,11.75,17.75,11.0,0.0,51,14.0,0.0,10.025,3.0625,5.4875,4.0,78.75
407,10.975,11.75,17.75,11.0,0.0,51,14.0,0.0,10.025,2.97,5.48,5.0,72.3
408,10.975,11.75,17.75,11.0,0.0,51,14.0,0.0,10.025,3.075,5.39375,8.0,83.44
409,10.975,11.75,17.75,11.0,0.0,51,14.0,0.0,10.025,2.9875,5.6,4.0,71.0
410,10.975,11.75,17.75,11.0,0.0,51,14.0,0.0,10.025,2.91666665,5.616666599999999,3.0,75.33
411,10.975,11.75,17.75,11.0,0.0,51,14.0,0.0,10.025,2.9285714,5.5053570999999994,7.5,87.355
412,10.975,11.75,17.75,11.0,0.0,51,14.0,0.0,10.025,3.125,5.575,1.5,57.0
413,11.5,12.5,28.0,15.625,0.0,52,12.75,0.0,11.225,2.9581817999999998,5.37090905,10.5,89.02
414,11.5,12.5,28.0,15.625,0.0,52,12.75,0.0,11.225,3.1416666,5.2916666,6.0,78.585
415,11.5,12.5,28.0,15.625,0.0,52,12.75,0.0,11.225,3.03375,5.4975,9.0,77.925
416,11.5,12.5,28.0,15.625,0.0,52,12.75,0.0,11.225,3.06666665,5.49999995,3.0,72.835
417,11.5,12.5,28.0,15.625,0.0,52,12.75,0.0,11.225,2.95,5.575,4.0,66.75
418,11.5,12.5,28.0,15.625,0.0,52,12.75,0.0,11.225,3.09999995,5.4428570999999994,7.0,68.575
419,11.5,12.5,28.0,15.625,0.0,52,12.75,0.0,11.225,3.0285714,5.42142855,7.0,75.64
420,12.225,13.0,24.25,14.75,0.0,1,12.75,0.0,11.475,2.9366071,5.566071400000001,7.5,74.355
421,12.225,13.0,24.25,14.75,0.0,1,12.75,0.0,11.475,2.91,5.61,5.5,81.735
422,12.225,13.0,24.25,14.75,0.0,1,12.75,0.0,11.475,2.94375,5.4625,8.0,74.375
423,12.225,13.0,24.25,14.75,0.0,1,12.75,0.0,11.475,2.925,5.57499995,6.0,90.5
424,12.225,13.0,24.25,14.75,0.0,1,12.75,0.0,11.475,3.00714285,5.9071428,7.0,88.285
425,12.225,13.0,24.25,14.75,0.0,1,12.75,0.0,11.475,3.0125,5.31875,8.0,77.94
426,12.225,13.0,24.25,14.75,0.0,1,12.75,0.0,11.475,2.96666665,5.3166666,3.0,79.165
427,12.725,13.5,28.5,18.0,0.0,2,12.0,0.0,10.975,2.91666665,5.5333333,3.0,45.835
428,12.725,13.5,28.5,18.0,0.0,2,12.0,0.0,10.975,2.88839285,5.4866071,7.5,74.92
429,12.725,13.5,28.5,18.0,0.0,2,12.0,0.0,10.975,3.1,5.26,5.0,91.4
430,12.725,13.5,28.5,18.0,0.0,2,12.0,0.0,10.975,3.0222222000000003,5.4777777,9.0,79.115
431,12.725,13.5,28.5,18.0,0.0,2,12.0,0.0,10.975,3.05714285,5.48571425,7.0,88.5
432,12.725,13.5,28.5,18.0,0.0,2,12.0,0.0,10.975,3.1916666,5.31666665,6.0,69.585
433,12.725,13.5,28.5,18.0,0.0,2,12.0,0.0,10.975,3.0333333,5.4298611,8.5,76.97
434,13.05,13.75,26.75,10.5,0.0,3,9.75,0.0,12.45,2.98571425,5.4571428,7.0,74.425
435,13.05,13.75,26.75,10.5,0.0,3,9.75,0.0,12.45,3.1,5.1833333,3.0,92.835
436,13.05,13.75,26.75,10.5,0.0,3,9.75,0.0,12.45,2.925,5.0625,4.0,79.75
437,13.05,13.75,26.75,10.5,0.0,3,9.75,0.0,12.45,3.25,4.88,5.0,77.6
438,13.05,13.75,26.75,10.5,0.0,3,9.75,0.0,12.45,3.04166665,5.5,6.0,73.5
439,13.05,13.75,26.75,10.5,0.0,3,9.75,0.0,12.45,3.0738095000000003,5.4523809000000005,6.5,74.98
440,13.05,13.75,26.75,10.5,0.0,3,9.75,0.0,12.45,3.0428571,5.3714285,7.0,80.0
